timestamp,sensor_1,sensor_2
1700079309.0823143,41.08,19.56
1700079309.1548827,58.96,18.91
1700079309.2264252,44.33,17.06
1700079309.299446,44.16,14.47
1700079309.3709645,43.31,15.78
1700079309.4425042,43.61,20.07
1700079309.5150516,47.89,13.44
1700079309.587059,40.94,20.22
1700079309.6584082,42.55,21.47
1700079309.730513,41.21,17.54
1700079309.8024805,38.32,19.44
1700079309.8749046,44.21,14.52
1700079309.9464383,39.73,17.34
1700079310.0189867,41.90,17.25
1700079310.0909805,42.19,16.96
1700079310.1625192,39.66,17.15
1700079310.2350528,41.72,14.81
1700079310.3065965,40.36,13.77
1700079310.3785946,40.47,16.73
1700079310.4511356,41.32,11.70
1700079310.5236752,39.55,16.51
1700079310.5946758,42.61,16.52
1700079310.6672094,42.56,14.69
1700079310.7388906,39.02,14.39
1700079310.811421,41.11,19.08
1700079310.8824296,38.23,14.28
1700079310.9549377,43.29,18.03
1700079311.0264564,39.56,12.90
1700079311.0985138,41.54,16.29
1700079311.1710384,41.10,12.27
1700079311.2426016,39.16,14.82
1700079311.3151221,41.71,16.88
1700079311.3871224,40.12,15.52
1700079311.4590456,39.62,15.20
1700079311.5305789,40.94,14.09
1700079311.603118,38.92,16.83
1700079311.6741276,42.58,16.32
1700079311.7461867,39.87,15.77
1700079311.8182812,39.79,13.16
1700079311.890291,40.36,18.23
1700079311.9627647,40.00,17.00
1700079312.034291,42.52,15.40
1700079312.1068506,40.80,13.37
1700079312.1788583,39.36,15.12
1700079312.2503793,40.86,12.90
1700079312.3229046,39.61,15.26
1700079312.3949144,42.85,14.24
1700079312.4669755,40.80,18.35
1700079312.5395434,39.91,17.56
1700079312.6111228,41.09,14.82
1700079312.6831195,38.86,17.07
1700079312.755167,41.96,15.47
1700079312.8267882,41.44,16.06
1700079312.8987992,39.69,14.74
1700079312.9712076,41.50,18.03
1700079313.0431235,38.72,17.44
1700079313.114201,45.14,15.49
1700079313.1872053,39.30,16.28
1700079313.2588072,40.45,15.40
1700079313.3303485,40.00,13.89
1700079313.4026954,39.40,16.27
1700079313.4752142,40.47,15.51
1700079313.5467956,40.39,17.72
1700079313.6183388,39.14,15.83
1700079313.6903317,47.11,13.70
1700079313.7634723,275.21,19.78
1700079313.8350081,98.09,18.51
1700079313.9075704,94.95,16.69
1700079313.9785612,136.39,18.61
1700079314.05112,94.54,12.97
1700079314.122725,60.77,16.70
1700079314.1947148,42.36,17.44
1700079314.2662458,41.74,16.24
1700079314.3398142,42.22,15.52
1700079314.4103944,43.13,16.16
1700079314.4827034,43.25,15.75
1700079314.5552554,45.07,12.75
1700079314.6268086,41.17,19.29
1700079314.6988459,40.42,16.06
1700079314.770956,42.04,12.83
1700079314.8425891,41.08,16.92
1700079314.9151256,42.89,16.16
1700079314.9871216,40.78,14.15
1700079315.0586863,39.96,16.41
1700079315.1309934,41.80,16.56
1700079315.2030578,41.80,15.64
1700079315.2755816,42.82,16.71
1700079315.34712,40.73,16.91
1700079315.4186897,39.55,17.47
1700079315.490724,41.81,17.00
1700079315.562218,39.75,15.86
1700079315.6347742,41.47,14.60
1700079315.707305,40.35,15.37
1700079315.778297,39.89,15.92
1700079315.8503416,43.75,13.00
1700079315.9229267,39.00,16.46
1700079315.9949536,42.20,19.50
1700079316.0664237,42.27,145.50
1700079316.1389763,41.64,99.55
1700079316.2115266,42.94,26.82
1700079316.283147,38.92,58.96
1700079316.3546724,41.51,16.69
1700079316.4272041,41.35,17.38
1700079316.4992223,40.87,15.74
1700079316.5707924,41.64,46.52
1700079316.642322,40.85,15.20
1700079316.714883,41.89,28.23
1700079316.7868805,40.78,22.23
1700079316.8589463,40.81,21.32
1700079316.930498,41.28,20.87
1700079317.002517,39.32,19.33
1700079317.0750437,40.17,17.46
1700079317.1466565,40.43,18.19
1700079317.218783,40.65,12.97
1700079317.2908175,42.48,16.15
1700079317.3623502,40.01,17.29
1700079317.4348853,42.11,17.20
1700079317.5064383,40.99,13.85
1700079317.5784624,40.85,16.49
1700079317.6509922,44.36,30.13
1700079317.7225494,39.97,22.72
1700079317.794561,41.59,17.54
1700079317.8666508,41.86,18.67
1700079317.9392245,39.88,28.67
1700079318.0107696,41.52,14.73
1700079318.0837739,136.84,23.59
1700079318.1553252,317.95,24.74
1700079318.2268813,87.69,16.37
1700079318.298891,75.69,19.38
1700079318.3704221,79.17,17.27
1700079318.4430103,48.47,14.26
1700079318.5145454,39.87,18.22
1700079318.5865664,41.46,24.18
1700079318.659233,39.26,19.23
1700079318.7307994,42.56,16.30
1700079318.80284,39.68,17.55
1700079318.8756247,42.51,13.25
1700079318.9472203,40.29,12.90
1700079319.018783,40.37,13.54
1700079319.0907805,40.90,13.86
1700079319.1623223,40.91,13.10
1700079319.2348747,42.51,16.64
1700079319.3074026,41.86,16.17
1700079319.3784137,40.50,14.39
1700079319.4509645,43.40,11.66
1700079319.5225074,39.60,16.26
1700079319.594533,43.54,16.30
1700079319.6670582,43.56,19.06
1700079319.7386076,41.47,14.20
1700079319.811162,43.51,19.96
1700079319.8827126,92.57,16.62
1700079319.9552763,392.86,17.43
1700079320.0278401,161.67,17.16
1700079320.0988903,166.55,19.26
1700079320.1714451,112.39,15.39
1700079320.2440424,80.41,18.43
1700079320.3145688,50.84,13.25
1700079320.387572,40.25,14.33
1700079320.4591124,40.07,16.43
1700079320.531693,42.96,14.71
1700079320.6026616,39.88,17.23
1700079320.6751957,45.31,15.48
1700079320.746737,37.95,15.87
1700079320.8193157,39.49,17.55
1700079320.8913195,43.52,15.73
1700079320.9624166,41.27,22.06
1700079321.0349615,40.59,15.71
1700079321.1069772,41.01,16.65
1700079321.1785047,38.52,17.37
1700079321.2510638,42.69,15.01
1700079321.3225935,40.68,17.40
1700079321.394639,43.04,17.23
1700079321.4665241,41.42,17.42
1700079321.5390627,38.40,15.27
1700079321.6106155,40.36,13.68
1700079321.6826122,39.23,16.90
1700079321.7551718,41.65,15.39
1700079321.8264349,41.26,15.94
1700079321.8984442,40.77,17.07
1700079321.9705443,43.03,194.11
1700079322.0426347,40.44,83.24
1700079322.115209,45.29,128.42
1700079322.1872067,38.81,63.68
1700079322.2597706,41.01,22.10
1700079322.3313031,42.41,16.18
1700079322.4033103,40.01,29.58
1700079322.47484,40.41,14.80
1700079322.5474246,40.72,12.78
1700079322.6189787,39.92,26.27
1700079322.6909828,41.59,20.28
1700079322.7625232,42.35,20.91
1700079322.8350928,41.65,19.49
1700079322.9071002,41.42,30.15
1700079322.979215,40.63,17.71
1700079323.0507436,44.02,14.05
1700079323.123349,38.61,20.65
1700079323.1953692,96.62,22.21
1700079323.2669387,647.35,13.62
1700079323.3384862,87.91,17.05
1700079323.411079,73.41,18.75
1700079323.4830642,97.41,17.67
1700079323.5555952,41.81,18.99
1700079323.6271782,39.83,14.11
1700079323.6992042,41.76,14.19
1700079323.7707243,41.51,14.59
1700079323.8432791,44.17,21.77
1700079323.9148595,42.27,43.85
1700079323.9871488,39.65,237.19
1700079324.0586932,39.22,50.83
1700079324.1312008,42.52,97.78
1700079324.2032218,40.07,27.25
1700079324.2747471,43.50,15.93
1700079324.347282,42.06,18.14
1700079324.4193394,42.76,33.74
1700079324.4913235,42.55,23.45
1700079324.562868,39.27,22.25
1700079324.6344128,42.43,27.16
1700079324.7064543,39.21,18.91
1700079324.7790437,42.50,40.07
1700079324.8510017,42.77,12.67
1700079324.9225442,40.00,19.59
1700079324.9949515,42.57,16.67
1700079325.0664885,39.82,23.02
1700079325.1390908,40.36,22.19
1700079325.2106087,44.70,22.52
1700079325.283633,41.12,19.85
1700079325.3551743,40.78,13.10
1700079325.4267554,40.93,17.43
1700079325.4987805,39.51,25.67
1700079325.5703523,42.58,18.78
1700079325.6428516,39.32,15.21
1700079325.7153797,41.63,46.86
1700079325.7863793,40.15,24.06
1700079325.8589156,40.75,18.12
1700079325.9305525,42.65,13.86
1700079326.0033035,39.61,17.04
1700079326.0750673,41.92,20.78
1700079326.1476707,40.84,14.42
1700079326.218967,40.87,306.40
1700079326.2909684,42.55,98.14
1700079326.3635108,40.97,74.62
1700079326.4348269,42.50,39.79
1700079326.5072255,39.32,19.17
1700079326.5787575,38.07,27.08
1700079326.6503062,41.36,48.81
1700079326.7234664,39.43,37.33
1700079326.794439,41.34,23.72
1700079326.8669891,41.40,25.07
1700079326.9385276,40.38,99.95
1700079327.0115645,41.96,309.02
1700079327.082643,40.51,33.68
1700079327.155082,41.53,55.59
1700079327.226644,40.53,24.18
1700079327.2986603,40.52,36.38
1700079327.3711803,42.30,66.81
1700079327.4428573,40.74,32.73
1700079327.5153975,43.77,33.41
1700079327.587382,39.21,21.26
1700079327.6589491,40.57,30.42
1700079327.73147,41.16,15.36
1700079327.8035035,38.93,12.09
1700079327.8750038,41.92,31.71
1700079327.9465494,41.55,16.39
1700079328.0191126,40.96,20.75
1700079328.090609,43.34,26.58
1700079328.1631613,37.99,21.36
1700079328.2347233,43.89,30.15
1700079328.306727,41.43,15.57
1700079328.379247,41.74,14.46
1700079328.4520502,41.74,26.34
1700079328.5228224,41.55,24.99
1700079328.5945714,134.25,24.31
1700079328.6675665,510.65,13.63
1700079328.7391264,81.37,26.98
1700079328.8111463,70.87,31.51
1700079328.882678,137.23,21.55
1700079328.9552424,37.91,16.91
1700079329.0265276,42.54,16.12
1700079329.098965,43.05,21.95
1700079329.1705098,41.33,21.07
1700079329.2431223,37.46,40.74
1700079329.3146863,45.14,34.67
1700079329.3866813,40.70,20.02
1700079329.4592135,41.26,18.00
1700079329.5307543,41.31,19.30
1700079329.602765,42.85,26.57
1700079329.675446,43.29,43.03
1700079329.746969,40.92,15.78
1700079329.8185189,40.23,15.47
1700079329.8905191,42.09,22.69
1700079329.9630558,41.95,20.26
1700079330.035606,42.56,21.73
1700079330.107122,40.33,27.90
1700079330.1787503,40.91,16.84
1700079330.2512958,41.95,18.16
1700079330.32283,39.02,29.81
1700079330.3952658,42.77,17.33
1700079330.4674537,39.59,9.60
1700079330.5392752,39.78,37.10
1700079330.611554,43.12,16.55
1700079330.6830878,39.93,26.33
1700079330.7546275,42.95,17.97
1700079330.8271537,39.56,25.58
1700079330.8991597,40.11,19.74
1700079330.9706984,40.70,30.42
1700079331.043325,39.66,22.10
1700079331.1151702,41.83,18.79
1700079331.1867647,39.88,18.10
1700079331.2583785,41.31,21.33
1700079331.3309097,39.92,15.77
1700079331.402959,50.14,16.87
1700079331.4744825,86.13,34.25
1700079331.5470495,327.79,15.45
1700079331.6196074,83.26,18.05
1700079331.6906235,166.45,26.01
1700079331.7631938,92.13,26.46
1700079331.8347325,50.68,29.51
1700079331.9067476,37.80,19.10
1700079331.9792628,41.53,21.02
1700079332.0518177,43.99,25.62
1700079332.1233459,41.70,20.78
1700079332.1949072,43.76,24.78
1700079332.2674038,41.79,16.50
1700079332.3389447,40.34,32.94
1700079332.4109883,41.62,20.94
1700079332.4825206,42.03,17.64
1700079332.5550685,43.66,14.64
1700079332.6276114,40.13,19.31
1700079332.6985996,39.12,21.53
1700079332.7711864,41.72,18.18
1700079332.8427088,39.97,24.55
1700079332.9147093,41.80,18.73
1700079332.987232,39.97,16.70
1700079333.058772,42.89,29.66
1700079333.1313012,41.25,15.30
1700079333.202899,39.69,16.44
1700079333.2754064,41.19,17.29
1700079333.3469906,41.64,17.99
1700079333.4189289,40.72,22.87
1700079333.4909363,44.16,18.79
1700079333.5624769,40.01,15.08
1700079333.6350176,41.11,20.79
1700079333.7070563,41.25,18.80
1700079333.7785983,41.00,23.32
1700079333.851153,41.31,25.38
1700079333.922706,42.40,16.34
1700079333.99471,44.07,27.20
1700079334.0672596,40.32,22.13
1700079334.138796,40.73,14.70
1700079334.2113478,40.89,22.70
1700079334.2828918,39.10,22.71
1700079334.3544238,43.78,22.41
1700079334.4269698,41.30,14.22
1700079334.4989758,39.68,23.25
1700079334.5715287,41.86,13.40
1700079334.6430614,41.30,17.70
1700079334.7150846,42.74,14.58
1700079334.7874482,39.89,24.57
1700079334.8589764,40.41,17.55
1700079334.9305086,41.27,21.21
1700079335.0025764,37.44,15.65
1700079335.0750427,41.98,18.53
1700079335.1465845,39.55,25.46
1700079335.2183733,324.15,30.71
1700079335.2903697,186.46,165.32
1700079335.3629153,85.58,68.01
1700079335.4351778,128.40,63.44
1700079335.5066886,113.86,73.44
1700079335.5789337,121.82,23.19
1700079335.6510823,50.42,23.83
1700079335.7226176,46.62,30.38
1700079335.7946358,41.90,22.91
1700079335.8671818,42.50,36.32
1700079335.9394886,39.57,27.47
1700079336.0114985,43.95,22.93
1700079336.0826705,39.01,19.22
1700079336.155244,43.63,22.62
1700079336.2262957,42.18,48.90
1700079336.299293,41.36,25.17
1700079336.3718574,41.80,17.30
1700079336.4431052,41.65,14.88
1700079336.5151408,41.85,43.86
1700079336.5876656,41.54,37.73
1700079336.6591752,40.74,18.57
1700079336.7306345,41.67,14.60
1700079336.8026183,41.21,20.30
1700079336.8751802,43.36,55.42
1700079336.9467142,41.27,20.04
1700079337.019273,41.27,14.74
1700079337.0912697,42.47,14.89
1700079337.1628597,39.89,17.46
1700079337.2349167,42.56,37.22
1700079337.3069682,39.41,32.00
1700079337.3784528,38.98,19.52
1700079337.450528,41.28,18.50
1700079337.523073,39.38,17.59
1700079337.5950825,42.36,37.94
1700079337.6666217,41.61,18.65
1700079337.7392082,39.98,20.08
1700079337.8112435,39.83,36.68
1700079337.8827379,40.11,31.64
1700079337.9552972,42.55,24.92
1700079338.0268471,40.09,293.58
1700079338.0988498,42.15,128.41
1700079338.1713948,42.37,51.32
1700079338.2429504,39.75,125.80
1700079338.3151796,43.95,47.03
1700079338.386724,38.02,42.39
1700079338.4592462,39.83,17.84
1700079338.5307934,42.22,44.08
1700079338.602797,42.02,34.15
1700079338.6753442,42.55,34.99
1700079338.7468941,94.26,23.69
1700079338.8194103,366.14,20.30
1700079338.891426,178.84,25.38
1700079338.9625149,86.66,31.78
1700079339.0350685,78.34,36.39
1700079339.1070843,39.69,20.77
1700079339.1786354,39.36,25.29
1700079339.251168,42.39,29.37
1700079339.3230057,37.66,23.34
1700079339.3950047,41.63,33.45
1700079339.467533,38.85,24.91
1700079339.5387452,37.79,29.16
1700079339.6107502,40.80,41.59
1700079339.682283,38.12,18.65
1700079339.7548268,45.41,22.59
1700079339.8269622,39.17,29.46
1700079339.8989599,41.18,42.22
1700079339.970505,40.85,20.93
1700079340.0430598,39.63,20.10
1700079340.1150866,40.43,17.12
1700079340.1865954,41.27,23.46
1700079340.2591472,40.25,17.87
1700079340.3312266,40.15,25.02
1700079340.4032369,40.50,28.91
1700079340.4747713,42.08,28.04
1700079340.5473235,39.34,30.01
1700079340.6193352,40.81,17.15
1700079340.690905,41.61,21.93
1700079340.7624114,40.69,22.57
1700079340.8349395,44.79,19.62
